categories,deal_features,merchant,mini_info,promotion_title,rel_location,state,total_ratings,url
"Local,Food & Drink,Restaurants,Pizza","What You'll Get,$13 for $20 worth of Italian and American food for dine-in for lunch or dinner, valid Sunday–Thursday,Click to see the,menu",Big Nick's Pizza Joint,"Limited Time Remaining!,70+ viewed today,857 Ratings",Pizza and Burgers for Lunch or Dinner at Big Nick's Pizza Joint  (35% Off),Big Nick's Pizza Joint,New York,857 Ratings,https://www.groupon.com/deals/big-nick-s-pizza-joint
"Local,Beauty & Spas,Massage,Full Body Massage","What You'll Get,The Deal,$82 for a 60-minute massage (up to $129 value)<p>,Customers can choose from the following massages:,Signature,Swedish,Cranial sacral,Royal Bangkok Thai massage,Deep-tissue,Sports,Pregnancy,Hot stone<p>",Fifth Avenue Thai Spa,"Limited Time Remaining!,150+ viewed today,798 Ratings",$82 for a 60-Minute Massage at Fifth Avenue Thai Spa (Up to $129 Value),Manhattan,New York,798 Ratings,https://www.groupon.com/deals/fifth-avenue-thai-spa-1
"Local,Food & Drink,Restaurants,French Restaurants","What You'll Get,Choose from Four Options,$27 for $50 worth of French cuisine and drinks for two, valid Sunday–Thursday,$29 for $50 worth of French cuisine and drinks for two, valid any day,$54 for $100 worth of French cuisine and drinks for four, valid Sunday–Thursday,$58 for $100 worth of French cuisine and drinks for four, valid any day",A.O.C.,"Limited Time Remaining!,100+ viewed today,1,730 Ratings",Upscale French Cuisine and Drinks for Two or Four at A.O.C. (Up to 46% Off). Four Options Available.,West Village,New York,"1,730 Ratings",https://www.groupon.com/deals/a-o-c-bleecker-st-4
"Local,Beauty & Spas,Salons,Hair Salons","What You'll Get,Choose from Three Options,$39 for a haircut, blow dry, and deep-conditioning treatment ($115 value),$55 for a haircut and partial highlights ($190 value),$69 for a haircut and full highlights ($250 value)",Le Joli NY,"Limited Time Remaining!,Selling fast!,572 Ratings",Haircut with Optional Partial or Full Highlights at Le Joli NY (Up to 72% Off),Upper East Side,New York,572 Ratings,https://www.groupon.com/deals/le-joli-ny-1
"Local,Beauty & Spas,Salons,Nail Salons","What You'll Get,Choice of:,One Gel Manicure and Regular Pedicure,Three Vouchers: Each Good for One Gel Manicure and Regular Pedicure",Natural Nail and Spa,"Limited Time Remaining!,Selling fast!,1,102 Ratings",Gel Manicure and Regular Pedicure at Natural Nail and Spa (Up to 40% Off). Two Options Available.,Lenox Hill,New York,"1,102 Ratings",https://www.groupon.com/deals/natural-nail-spa-3
"Local,Things To Do,Nightlife,Movies","What You'll Get,The Deal,$12.50 for movie admission for two ($24 value)",Cinema Village,"Limited Time Remaining!,150+ viewed today,642 Ratings",$12.50 for Movie Admission for Two at Cinema Village ($24 Value),Cinema Village,New York,642 Ratings,https://www.groupon.com/deals/cvcinemart-enterprises-includes-cinemart-cinema-village-and-alpine-cinema-3
"Local,Health & Fitness,Gyms,Fitness Classes","What You'll Get,After purchasing this deal, you will need to visit the website listed on your voucher to complete redemption.,Choose from Three Options,$39 for two pole-dancing classes (a $70 value),$89 for five pole-dancing classes (a $175 value),$149 for nine pole-dancing classes (a $315 value)",Foxy Fitness and Pole,"Limited Time Remaining!,50+ viewed today,333 Ratings","Two, Five, or Nine Pole-Dancing Classes at Foxy Fitness and Pole (Up to 53% Off)",Chelsea,New York,333 Ratings,https://www.groupon.com/deals/foxy-fitness-and-pole-3-9
"Local,Beauty & Spas,Hair Removal,Bikini Wax","What You'll Get,Choose from Five Options,$17 for one Azulene Brazilian bikini wax ($35 value),$33 for two Azulene Brazilian bikini waxes ($70 value),$25 for one tea-tree Brazilian bikini wax ($50 value),$45 for two tea-tree Brazilian bikini waxes ($100 value),$32 for one Brazilian wax and lower-leg wax ($65 value),Azulene wax contains chamomile oil that provides anti-inflammatory and anti-bacterial protection. Tea-tree wax also has anti-bacterial properties and is especially suited for short hair and sensitive skin.",Anta Skin & Laser Spa,"Limited Time Remaining!,10+ viewed today,350 Ratings","One or Two Brazilian Waxes, or One Brazilian Wax and Lower-Leg Wax at Anta Skin & Laser Spa (Up to 55% Off)",Midtown Manhattan,New York,350 Ratings,https://www.groupon.com/deals/anta-skin-and-laser-spa
"Local,Beauty & Spas,Hair Removal,Waxing","What You'll Get,Hair removal can be tricky, especially if the hair is somehow connected directly to your skin through some nefarious prank of nature. Vanquish skin vandalism with this voucher.,Choose Between Two Options,$19 for one women’s Brazilian wax (a $60 value),$29 for four women’s eyebrow waxes (a $60 value)",Harlem Skin & Laser Clinic,"Limited Time Remaining!,Selling fast!,1,530 Ratings",One Brazilian Wax or Four Eyebrow Waxes at Harlem Skin & Laser Clinic (Up to 68% Off),(new venue across the street),New York,"1,530 Ratings",https://www.groupon.com/deals/harlem-skin-clinic-2
"Local,Food & Drink,Restaurants,Latin American Restaurants","What You'll Get,Chefs’ ovens burn much hotter than conventional ovens, allowing them to quickly roast meats and melt glacier chunks into gourmet ice water. Let this voucher melt in your mouth.,$12 for Two Small Reggaefest Chicken Combo Meals (Up to $25 Value),Customers choose between a chicken patty, jerk chicken, stew chicken, or curried chicken. All,combos,come with rice, beans, and cabbage salad or plantains.",Golden Krust Caribbean Bakery and Grill - Amityville,"Limited Time Remaining!,40+ viewed today,864 Ratings",$12 for Two Small Reggaefest Chicken Combo Meals at Golden Krust Caribbean Bakery and Grill (Up to $25 Value),Multiple Locations,New York,864 Ratings,https://www.groupon.com/deals/golden-krust-caribbean-bakery-grill-1
"Local,Health & Fitness,Natural Medicine,Chiropractor","What You'll Get,Choose Between Two Options,$39 for a chiropractic exam and one adjustment ($225 value),$59 for a Chiropractic Exam and Three Adjustments ($375 value)",NYC Midtown Chiropractic,"Limited Time Remaining!,30+ viewed today,13 Ratings",Chiropractic Exam and One or Three Adjustments at NYC Midtown Chiropractic (Up to 84% Off),New York,New York,13 Ratings,https://www.groupon.com/deals/nyc-midtown-chiropractic
"Local,Personal Services,Classes,Driving Lessons","What You'll Get,Choose Between Two Options,$19.50 for a NY Defensive Driving Online Course for one ($39.95 value),$39.50 for a NY Defensive Driving Online Course for two ($79.90 value)",National Traffic Safety Institute,"Limited Time Remaining!,250+ viewed today,616 Ratings",NY Defensive Driving Online Course for One or Two at National Traffic Safety Institute (51% Off),Supreme Chocolatier Lecture Hall,New York,616 Ratings,https://www.groupon.com/deals/national-traffic-safety-institute
"Local,Health & Fitness,Natural Medicine,Acupuncture","What You'll Get,The Deal,$25 for one,basic acupuncture session,(up to $49 value),During each one-hour session, an acupuncturist gently inserts fine-tipped needles into specific points of the body. This ancient process helps release pent-up energy and alleviate pains that so often stem from issues such as arthritis and spinal misalignment.",City Acupuncture - Fulton Street ,"Limited Time Remaining!,40+ viewed today,934 Ratings",One Basic Acupuncture Session at City Acupuncture - Fulton Street (Up to 49% Off),City Acupuncture,New York,934 Ratings,https://www.groupon.com/deals/city-acupuncture-5
"Local,Things To Do,Kids Activities,Museums & Attractions","What You'll Get,Choice of:,Two-Hour Dolphin Watching Experience for One,Two-Hour Dolphin Watching Experience for Two,Three-Hour Whale and Dolphin Watching Tour for One,Three-Hour Whale and Dolphin Watching Tour for Two",Cape May Whale Watcher,"Limited Time Remaining!,250+ viewed today,2,423 Ratings",Dolphin-Watching Tour or Whale-and Dolphin-Watching Tour for 1 or 2 at Cape May Whale Watcher (Up to 52% Off),Strathmere,New York,"2,423 Ratings",https://www.groupon.com/deals/cape-may-whale-watcher-19-44
"Local,Health & Fitness,Gyms,Fitness Classes","What You'll Get,Choice of:,One 60-Minute Private Pilates Session,Ten Group Pilates Classes,Five Group Pilates Classes,Three Group Pilates Classes,See the,class schedule",Sal Anthony's Movement Salon,"Limited Time Remaining!,90+ viewed today,77 Ratings","Three, Five, or Ten Group Pilates Classes or One Private Session at Sal Anthony's Movement Salon (Up to 57% Off)",Midtown Manhattan,New York,77 Ratings,https://www.groupon.com/deals/sal-anthony-s-movement-salon-1
"Local,Beauty & Spas,Face & Skin Care,Facial","What You'll Get,Giving this as a gift?,Send it instantly with one of our loving e-cards, or print a handy gift envelope and card.,$24 for an Anti-Aging Firming Facial ($60 Value),During the one-hour facial, a student aesthetician applies an anti-aging firming facial under the supervision of an expert instructor.",Christine Valmy International School,"Limited Time Remaining!,100+ viewed today,485 Ratings",$24 for an Anti-Aging Firming Facial at Christine Valmy International School NY ($60 Value),Midtown Manhattan,New York,485 Ratings,https://www.groupon.com/deals/christine-valmy-international-school-ny
"Local,Beauty & Spas,Hair Removal,Waxing","What You'll Get,Choose Between Two Options,$15 for one chocolate Brazilian or leg wax (a $30 value),$42 for three chocolate Brazilians or leg waxes (a $90 value)",WOW Threading Studio,"Limited Time Remaining!,150+ viewed today,2,091 Ratings",One or Three Chocolate Brazilian or Leg Waxes at WOW Threading Studio (Up to 53% Off),Midtown Manhattan,New York,"2,091 Ratings",https://www.groupon.com/deals/wow-threading-studio-2
"Local,Beauty & Spas,Nail Salons,No-Chip / Gel Mani Pedis","What You'll Get,Choose from Three Options,$28 for one regular mani-pedi (a $44 value),$29 for one gel manicure (a $45 value),$39 for a gel manicure and French pedicure (a $72 total value)",Natural Nail and Spa,"Limited Time Remaining!,100+ viewed today,1,102 Ratings",Mani-Pedis at Natural Nail and Spa (Up to 46% Off). Three Options Available.,Lenox Hill,New York,"1,102 Ratings",https://www.groupon.com/deals/bliss-natural-nail-spa
"Local,Food & Drink,Restaurants,Pizza","What You'll Get,Choose Between Two Options,$10 for $20 worth of gourmet pizza and Italian food,$30 for three vouchers, each good for $20 worth of gourmet pizza and Italian food ($60 value),See the,menu,<p>",Pizza by Certe LLC,"Limited Time Remaining!,100+ viewed today,548 Ratings",Gourmet Pizza at Pizza by Certe (50% Off). Two Options Available.,Midtown Center,New York,548 Ratings,https://www.groupon.com/deals/pizza-by-certe
"Local,Health & Fitness,Gyms,Fitness Classes","What You'll Get,Yoga teaches people how to sustain poses while controlling their breath, a technique most yogis use to live undetected in wax museums. Steady your stillness skills with this voucher.,$39 for five yoga classes, valid for new customers only (a $100 value),The,schedule,accommodates all fitness levels with a variety of classes seven days a week. Level 1 classes emphasize the basic Vinyasa sequences, whereas more advanced sessions reach an apex with challenging balance poses and physical asanas.",Yogamaya Yoga Studio,"Limited Time Remaining!,70+ viewed today,612 Ratings",Five Yoga Classes at Yogamaya Yoga Studio (Up to 61% Off),Chelsea,New York,612 Ratings,https://www.groupon.com/deals/yogamaya-yoga-studio-1
"Local,Health & Fitness,Dental,Dentist","What You'll Get,Taking care of your teeth can seem laborious until you try to floss the scuba divers out of a whale’s baleen. Be glad you are not a whale with this voucher.,The Deal,$39 for a dental package (a $270 total value),Exam (a $50 value),Cleaning (a $145 value),X-rays (a $75 value)",West End Dental Associates,"Limited Time Remaining!,100+ viewed today,627 Ratings",$39 for a Dental Exam Including X-rays and Cleaning at West End Dental Associates ($270 Value),Upper West Side,New York,627 Ratings,https://www.groupon.com/deals/west-end-dental-associates-1
